"Subject","Updating_P1.mistakes","updating_P1P2_first4","updating_diffscore","Updating_4Boxes.Mistakes","Updating_5Boxes.Mistakes","Updating2_P1.mistakes","updatingTraining4_first4","updatingTraining5_first5_2","boxes_mistakes","Boxes_P1.mistakes","Grid_Distance","grid_numberAttempts","Inh.grid.correct","Inh.grid.correct1","Inh.grid.correct2","StopSignal_trimmed_change_latency","Inh.cylinders.correct","Inh.cylinders.correct1","Inh.cylinders.correct2","Inh.boxes.correct","Inh.boxes.correct1","Inh.boxes.correct2","Shifting.tray.correct","Shifting.tray.correct.S1","Shifting.tray.correct.S2","Shifting.shelf.correct","shelf_switching_mistakes","shelf_switches","SD","SR","CD","ID","ED"
"Ajabu",1.25,5.25,-1.25,3.5,3,0.833333333333333,1.5,2,1.5,0.75,1.09408251683333,7.33333333333333,0.583333333333333,0.666666666666667,0.5,2148,0.583333333333333,0.5,0.666666666666667,0.5,0.5,0.5,0.541666666666667,0.625,0.458333333333333,0.388888888888889,19,2,0.538461538461538,0.125,0.727272727272727,1,0.45
"Akela",2,4.75,0.25,2.66666666666667,4,0.666666666666667,1.66666666666667,1.5,1.5,0.625,1.60223106341667,8.08333333333333,0.416666666666667,0.166666666666667,0.666666666666667,1354,0.5,0.416666666666667,0.583333333333333,0.125,0.166666666666667,0.0833333333333333,0.458333333333333,0.5,0.416666666666667,0.527777777777778,12,7,0.611111111111111,0,0.823529411764706,0.857142857142857,0.5
"Alikaka",1.25,5,0,0.333333333333333,4.33333333333333,NA,0.333333333333333,2.33333333333333,1.375,0.5,1.41257038475,7.5,0.416666666666667,0.333333333333333,0.5,2387,0.5,0.416666666666667,0.583333333333333,0.208333333333333,0.0833333333333333,0.333333333333333,0.583333333333333,0.5,0.666666666666667,0.472222222222222,13,5,0.666666666666667,0.166666666666667,0.615384615384615,0.857142857142857,0.45
"Alley",1,5.25,-1.25,1,2.33333333333333,1,0.666666666666667,1.33333333333333,1.5,0.75,1.18688672391667,6,0.416666666666667,0.5,0.333333333333333,4451,0.625,0.416666666666667,0.833333333333333,0.125,0.25,0,0.583333333333333,0.583333333333333,0.583333333333333,0.833333333333333,5,8,0.533333333333333,0.291666666666667,0.857142857142857,0.857142857142857,0.55
"Amahirwe",1.75,4.75,0.5,5,5,1.83333333333333,2.33333333333333,1.66666666666667,1.25,0.75,1.19171358983333,4.41666666666667,0.416666666666667,0.5,0.333333333333333,1534,0.583333333333333,0.333333333333333,0.833333333333333,0.125,0,0.25,0.625,0.625,0.625,0.805555555555556,4,8,0.636363636363636,0,0.666666666666667,0.857142857142857,0.475
"Amizero",1.5,5.5,-2.25,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1.375,0.625,1.38752346158333,8.08333333333333,0.25,0.5,0,4694,0.583333333333333,0.5,0.666666666666667,0.166666666666667,0,0.333333333333333,0.583333333333333,0.541666666666667,0.625,0.444444444444444,16,4,0.685714285714286,0.125,0.769230769230769,0.818181818181818,0.475
"Angela",1.75,5.5,-1,5,5,1,2,2.33333333333333,1.85714285714286,0.875,1.407195793,14.3333333333333,0.333333333333333,0.166666666666667,0.5,1892,0.708333333333333,0.416666666666667,1,0.208333333333333,0.0833333333333333,0.333333333333333,0.541666666666667,0.583333333333333,0.5,0.444444444444444,15,3,0.722222222222222,0.333333333333333,0.727272727272727,0.875,0.525
"Asega",0.5,7,-3,3,3,NA,1.33333333333333,1.33333333333333,1.375,0.625,1.45820612508333,8.16666666666667,0.75,0.666666666666667,0.833333333333333,1514,0.791666666666667,0.583333333333333,1,0.0833333333333333,0,0.166666666666667,0.604166666666667,0.458333333333333,0.75,0.444444444444444,17,4,0.611111111111111,0.733333333333333,0.8,0.857142857142857,0.525
"Bahati",1.75,5,-2,2,1.66666666666667,1.16666666666667,1.33333333333333,0.666666666666667,1.375,0.5,1.41311811058333,9.75,0.5,0.333333333333333,0.666666666666667,1838,0.416666666666667,0.5,0.333333333333333,0.375,0.25,0.5,0.625,0.583333333333333,0.666666666666667,0.5,12,4,0.529411764705882,0.375,0.785714285714286,0.777777777777778,0.5
"Baluku",1,6.5,0.333333333333333,3.66666666666667,1.33333333333333,NA,1.33333333333333,1,0.875,0.5,0.735702260333333,2.75,0.5,0.666666666666667,0.333333333333333,1379,0.791666666666667,0.583333333333333,1,0.208333333333333,0.166666666666667,0.25,0.541666666666667,0.416666666666667,0.666666666666667,0.638888888888889,13,6,0.75,0.416666666666667,0.75,0.857142857142857,0.5
"Becky",1.75,4.25,2.75,4.66666666666667,3.75,NA,1,1.25,1.25,0.625,1.211933647,10.4166666666667,0.666666666666667,0.833333333333333,0.5,1620,0.791666666666667,0.666666666666667,0.916666666666667,0.416666666666667,0.333333333333333,0.5,0.520833333333333,0.583333333333333,0.458333333333333,0.5,13,4,0.6,0.125,0.5,1,0.375
"Bili",1.5,4.75,1,1.33333333333333,2.66666666666667,NA,0.666666666666667,1.66666666666667,1.125,0.625,1.4428090415,6.5,0.666666666666667,0.666666666666667,0.666666666666667,5465,0.625,0.5,0.75,0,0,0,0.479166666666667,0.5,0.458333333333333,0.722222222222222,6,7,0.733333333333333,0,0.583333333333333,1,0.45
"Bwambale",1,5.5,0.25,5,4.33333333333333,NA,1.66666666666667,1.66666666666667,0.75,0.375,0.936886723833333,13.4166666666667,0.416666666666667,0.333333333333333,0.5,1592,0.541666666666667,0.5,0.583333333333333,0,0,0,0.4375,0.375,0.5,0.722222222222222,8,6,0.666666666666667,0.208333333333333,0.866666666666667,0.818181818181818,0.6
"Cheetah",0.75,6,-3.75,3.66666666666667,2.33333333333333,0.666666666666667,1,2,1.25,0.625,1.15774351875,6.58333333333333,0.333333333333333,0.333333333333333,0.333333333333333,2306,0.529411764705882,0.5,0.6,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.5,0.5,0.5,0.666666666666667,10,7,0.666666666666667,0.0416666666666667,0.55,0.75,0.475
"Chipie",3,3,2.75,3.66666666666667,5,0.833333333333333,1.33333333333333,2.33333333333333,1.875,0.875,1.39289805333333,10.375,0.5,0.5,0.5,3319,0.833333333333333,0.75,0.916666666666667,0.4,0.333333333333333,0.461538461538462,0.5625,0.541666666666667,0.583333333333333,0.805555555555556,3,8,0.558823529411765,0.0416666666666667,0.705882352941177,0.666666666666667,0.5
"Cocoa",1.5,4.25,3,2,1.66666666666667,NA,1,0.666666666666667,1.25,0.75,1.02022005716667,5.5,0.666666666666667,0.666666666666667,0.666666666666667,2289,0.5,0.333333333333333,0.666666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.5625,0.458333333333333,0.666666666666667,0.416666666666667,16,4,0.625,0.0416666666666667,0.7,0.857142857142857,0.45
"Dufatanya",1.25,5.75,-1.75,2.33333333333333,3.66666666666667,0.833333333333333,1,1.66666666666667,1.5,0.625,1.22085679491667,6.75,0.333333333333333,0.333333333333333,0.333333333333333,852,0.375,0.25,0.5,0.333333333333333,0.25,0.416666666666667,0.541666666666667,0.541666666666667,0.541666666666667,0.638888888888889,8,4,0.666666666666667,0.208333333333333,0.476190476190476,0.857142857142857,0.425
"Edvard",1.25,5,-0.25,4.5,5,1,2,2.66666666666667,1.375,0.875,1.216760513,6.16666666666667,NA,NA,NA,1283,NA,NA,NA,0.0833333333333333,0.166666666666667,0,0.458333333333333,0.291666666666667,0.625,0.638888888888889,12,6,0.459459459459459,0.0416666666666667,0.636363636363636,1,0.55
"Indi",0.75,5.75,-0.25,2.66666666666667,3.66666666666667,NA,1,1.33333333333333,1,0.375,1.25647393575,2.75,0.5,0.5,0.5,1203,0.541666666666667,0.416666666666667,0.666666666666667,0.125,0.0833333333333333,0.166666666666667,0.541666666666667,0.5,0.583333333333333,0.833333333333333,4,8,0.490196078431373,0,0.888888888888889,1,0.475
"Jane",2.25,4,1.25,4.33333333333333,2.66666666666667,0.833333333333333,2,1.66666666666667,1.5,0.875,1.68333816783333,10.4166666666667,0.416666666666667,0.333333333333333,0.5,1988,NA,NA,NA,0.333333333333333,0.25,0.416666666666667,0.729166666666667,0.625,0.833333333333333,0.388888888888889,15,2,0.777777777777778,0.9,0.789473684210526,0.846153846153846,0.6
"Joy",1.5,4.5,-1.25,3.66666666666667,4,0.666666666666667,1.66666666666667,1.66666666666667,1.125,0.625,1.48105825266667,7.83333333333333,0.333333333333333,0.333333333333333,0.333333333333333,2226,0.666666666666667,0.666666666666667,0.666666666666667,0.208333333333333,0.0833333333333333,0.333333333333333,0.520833333333333,0.333333333333333,0.708333333333333,0.722222222222222,5,6,0.533333333333333,0.25,0.769230769230769,0.722222222222222,0.55
"Judy",1.5,5.25,-1.25,1.66666666666667,2.5,1,1.33333333333333,1.5,1.375,0.75,1.10892798225,6.66666666666667,0.583333333333333,0.666666666666667,0.5,2791,0.411764705882353,0.428571428571429,0.4,0.25,0.416666666666667,0.0833333333333333,0.395833333333333,0.458333333333333,0.333333333333333,0.527777777777778,6,1,0.692307692307692,0.5,0.764705882352941,0.785714285714286,0.5
"Julia",1,5.25,-1.75,1.33333333333333,5,1,0.666666666666667,2.33333333333333,1.5,0.625,1.03989238858333,7.27272727272727,0.333333333333333,0.5,0.166666666666667,NA,0.541666666666667,0.333333333333333,0.75,0.166666666666667,0.0833333333333333,0.25,0.645833333333333,0.583333333333333,0.708333333333333,NA,NA,NA,0.590909090909091,0.291666666666667,0.692307692307692,0.823529411764706,0.425
"Kalema",1.75,4.25,3.25,3.66666666666667,4,NA,1,1,1.25,0.5,1.19171358983333,8.58333333333333,0.416666666666667,0.5,0.333333333333333,1646,0.708333333333333,0.583333333333333,0.833333333333333,0.125,0.0833333333333333,0.166666666666667,0.479166666666667,0.5,0.458333333333333,0.194444444444444,20,2,0.583333333333333,0.333333333333333,0.833333333333333,0.818181818181818,0.575
"Kidogo",1.75,5.25,0,3.66666666666667,4,NA,1,1.66666666666667,1.375,0.75,1.06903559366667,5.08333333333333,0.666666666666667,0.5,0.833333333333333,3142,0.666666666666667,0.5,0.833333333333333,0.291666666666667,0.166666666666667,0.416666666666667,0.541666666666667,0.625,0.458333333333333,0.444444444444444,12,3,0.565217391304348,0.125,0.571428571428571,0.75,0.5
"Kisa",1.25,5,-0.25,1,0,0.666666666666667,1,0,1.25,0.375,1.26020145775,8.08333333333333,0.3,0.333333333333333,0.25,2431,0.625,0.5,0.75,0.458333333333333,0.416666666666667,0.5,0.583333333333333,0.375,0.791666666666667,0.694444444444444,8,7,0.560606060606061,0.458333333333333,0.625,0.785714285714286,0.525
"Kisembo",2.5,3.75,3.25,4.33333333333333,2,NA,2,1,1.375,0.75,0.652368927,4.41666666666667,0.583333333333333,0.5,0.666666666666667,2556,0.583333333333333,0.416666666666667,0.75,0.25,0.166666666666667,0.333333333333333,0.5,0.5,0.5,0.722222222222222,8,7,0.488888888888889,0,0.36,1,0.45
"Manno",1.5,4.75,-1.25,1.66666666666667,3.66666666666667,0.833333333333333,0.666666666666667,2,1.25,0.625,1.275594649,4.25,0.583333333333333,0.5,0.666666666666667,1246,0.625,0.416666666666667,0.833333333333333,0.0416666666666667,0,0.0833333333333333,0.604166666666667,0.458333333333333,0.75,0.527777777777778,15,5,0.727272727272727,0.291666666666667,0.818181818181818,0.857142857142857,0.5
"Mary",2,4.5,0,2.33333333333333,3.66666666666667,1.2,1,1.33333333333333,1.125,0.625,1.22533715118182,7.09090909090909,0.0833333333333333,0,0.166666666666667,1554,0.25,0.25,0.25,0.291666666666667,0.25,0.333333333333333,0.5,0.5,0.5,0.611111111111111,7,6,0.684210526315789,0.125,0.764705882352941,0.857142857142857,0.525
"Mawa",2,4.5,2.5,4,3.33333333333333,NA,1.66666666666667,1,1.5,0.625,1.35520046025,6,0.5,0.5,0.5,3738,0.458333333333333,0.416666666666667,0.5,0.25,0,0.5,0.416666666666667,0.375,0.458333333333333,0.527777777777778,16,6,0.846153846153846,0.333333333333333,0.666666666666667,1,0.525
"Medina",2,4,3.75,5,5,NA,1.33333333333333,3,1.5,0.625,1.30956472,9.33333333333333,0.583333333333333,0.666666666666667,0.5,2883,0.5,0.5,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0.416666666666667,0.375,0.458333333333333,0.583333333333333,10,5,0.875,0.125,0.777777777777778,1,0.5
"Mwanzo",2,4.75,-0.25,3.66666666666667,3,1.2,1.66666666666667,1,1.375,0.75,0.941713589833333,4,0.5,0.333333333333333,0.666666666666667,1790,0.416666666666667,0.416666666666667,0.416666666666667,0.375,0.416666666666667,0.333333333333333,0.479166666666667,0.458333333333333,0.5,NA,NA,NA,0.571428571428571,0.0416666666666667,0.545454545454545,0.75,0.525
"Nakuu",0.5,6.25,-3,1.66666666666667,1.66666666666667,NA,0.666666666666667,0.666666666666667,1,0.375,1.30956472,7.75,0.666666666666667,0.666666666666667,0.666666666666667,2392,0.666666666666667,0.583333333333333,0.777777777777778,0.0833333333333333,0,0.166666666666667,0.5625,0.541666666666667,0.583333333333333,0.611111111111111,13,6,0.36,0.125,0.833333333333333,0.857142857142857,0.475
