"Subject","Updating_P1.mistakes","updating_P1P2_first4","updating_diffscore","Updating_4Boxes.Mistakes","Updating_5Boxes.Mistakes","Updating2_P1.mistakes","updatingTraining4_first4","updatingTraining5_first5_2","boxes_mistakes","Boxes_P1.mistakes","Grid_Distance","grid_numberAttempts"
"Ajabu",1.25,5.25,-1.25,3.5,3,0.833333333333333,1.5,2,1.5,0.75,1.09408251683333,7.33333333333333
"Akela",2,4.75,0.25,2.66666666666667,4,0.666666666666667,1.66666666666667,1.5,1.5,0.625,1.60223106341667,8.08333333333333
"Alikaka",1.25,5,0,0.333333333333333,4.33333333333333,NA,0.333333333333333,2.33333333333333,1.375,0.5,1.41257038475,7.5
"Alley",1,5.25,-1.25,1,2.33333333333333,1,0.666666666666667,1.33333333333333,1.5,0.75,1.18688672391667,6
"Amahirwe",1.75,4.75,0.5,5,5,1.83333333333333,2.33333333333333,1.66666666666667,1.25,0.75,1.19171358983333,4.41666666666667
"Amizero",1.5,5.5,-2.25,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1.375,0.625,1.38752346158333,8.08333333333333
"Angela",1.75,5.5,-1,5,5,1,2,2.33333333333333,1.85714285714286,0.875,1.407195793,14.3333333333333
"Asega",0.5,7,-3,3,3,NA,1.33333333333333,1.33333333333333,1.375,0.625,1.45820612508333,8.16666666666667
"Bahati",1.75,5,-2,2,1.66666666666667,1.16666666666667,1.33333333333333,0.666666666666667,1.375,0.5,1.41311811058333,9.75
"Baluku",1,6.5,0.333333333333333,3.66666666666667,1.33333333333333,NA,1.33333333333333,1,0.875,0.5,0.735702260333333,2.75
"Becky",1.75,4.25,2.75,4.66666666666667,3.75,NA,1,1.25,1.25,0.625,1.211933647,10.4166666666667
"Bili",1.5,4.75,1,1.33333333333333,2.66666666666667,NA,0.666666666666667,1.66666666666667,1.125,0.625,1.4428090415,6.5
"Bwambale",1,5.5,0.25,5,4.33333333333333,NA,1.66666666666667,1.66666666666667,0.75,0.375,0.936886723833333,13.4166666666667
"Cheetah",0.75,6,-3.75,3.66666666666667,2.33333333333333,0.666666666666667,1,2,1.25,0.625,1.15774351875,6.58333333333333
"Chipie",3,3,2.75,3.66666666666667,5,0.833333333333333,1.33333333333333,2.33333333333333,1.875,0.875,1.39289805333333,10.375
"Cocoa",1.5,4.25,3,2,1.66666666666667,NA,1,0.666666666666667,1.25,0.75,1.02022005716667,5.5
"Dufatanya",1.25,5.75,-1.75,2.33333333333333,3.66666666666667,0.833333333333333,1,1.66666666666667,1.5,0.625,1.22085679491667,6.75
