Subject	Sex	Group	Age	Date	Day	Session	trial_number	open_cylinder	comment			
Manno	m	young chimps	5	08/10/2018	3	1	1	0				
Manno	m	young chimps	5	08/10/2018	3	1	2	0				
Manno	m	young chimps	5	08/10/2018	3	1	3	0				
Manno	m	young chimps	5	08/10/2018	3	1	4	1				
Manno	m	young chimps	5	08/10/2018	3	1	5	0				
Manno	m	young chimps	5	08/10/2018	3	1	6	0				
Manno	m	young chimps	5	08/10/2018	3	1	7	1				
Manno	m	young chimps	5	08/10/2018	3	1	8	1				
Manno	m	young chimps	5	08/10/2018	3	1	9	0				
Manno	m	young chimps	5	08/10/2018	3	1	10	1				
Manno	m	young chimps	5	08/10/2018	3	1	11	0				
Manno	m	young chimps	5	08/10/2018	3	1	12	1				
William	m	young chimps	18	08/10/2018	3	1	1	0				
William	m	young chimps	18	08/10/2018	3	1	2	1				
William	m	young chimps	18	08/10/2018	3	1	3	0				
William	m	young chimps	18	08/10/2018	3	1	4	0				
William	m	young chimps	18	08/10/2018	3	1	5	0				
William	m	young chimps	18	08/10/2018	3	1	6	0				
William	m	young chimps	18	08/10/2018	3	1	7	1	"found some peanut kernels in the room, not from the experiment"			
William	m	young chimps	18	08/10/2018	3	1	8	0				
William	m	young chimps	18	08/10/2018	3	1	9	0				
William	m	young chimps	18	08/10/2018	3	1	10	0				
William	m	young chimps	18	08/10/2018	3	1	11	0				
William	m	young chimps	18	08/10/2018	3	1	12	0	8 peanuts left at the end of the session			
Uruhara	m	young chimps	29	08/10/2018	3	1	1	1				
Uruhara	m	young chimps	29	08/10/2018	3	1	2	0				
Uruhara	m	young chimps	29	08/10/2018	3	1	3	1				
Uruhara	m	young chimps	29	08/10/2018	3	1	4	1				
Uruhara	m	young chimps	29	08/10/2018	3	1	5	0				
Uruhara	m	young chimps	29	08/10/2018	3	1	6	1				
Uruhara	m	young chimps	29	08/10/2018	3	1	7	1				
Uruhara	m	young chimps	29	08/10/2018	3	1	8	1				
Uruhara	m	young chimps	29	08/10/2018	3	1	9	0				
Uruhara	m	young chimps	29	08/10/2018	3	1	10	0				
Uruhara	m	young chimps	29	08/10/2018	3	1	11	0				
Uruhara	m	young chimps	29	08/10/2018	3	1	12	1				
Roy 	m	young chimps	11	08/10/2018	3	1	1	0				
