Subject	Sex	Group	Age	Date	Day	Session	trial_number	correct	food_obtained	food_retrieved in the end	Comment
William	m	young chimps	18	10/10/2018	5	1	1	0			
William	m	young chimps	18	10/10/2018	5	1	2	0			
William	m	young chimps	18	10/10/2018	5	1	3	0			
William	m	young chimps	18	10/10/2018	5	1	4	1	0		
William	m	young chimps	18	10/10/2018	5	1	5	0			
William	m	young chimps	18	10/10/2018	5	1	6	0		4	
Roy	m	young chimps	11	10/10/2018	5	1	1	0			
Roy	m	young chimps	11	10/10/2018	5	1	2	0			
Roy	m	young chimps	11	10/10/2018	5	1	3	1	1		
Roy	m	young chimps	11	10/10/2018	5	1	4	0			
Roy	m	young chimps	11	10/10/2018	5	1	5	1	1		
Roy	m	young chimps	11	10/10/2018	5	1	6	1	1	7	
Tess	f	young chimps	26	10/10/2018	5	1	1	1	1		
Tess	f	young chimps	26	10/10/2018	5	1	2	1	1		
Tess	f	young chimps	26	10/10/2018	5	1	3	0			
Tess	f	young chimps	26	10/10/2018	5	1	4	0			
Tess	f	young chimps	26	10/10/2018	5	1	5	0			
Tess	f	young chimps	26	10/10/2018	5	1	6	1	1	4	
Uruhara	m	young chimps	29	11/10/2018	5	1	1	0			
Uruhara	m	young chimps	29	11/10/2018	5	1	2	0			
Uruhara	m	young chimps	29	11/10/2018	5	1	3	0			
Uruhara	m	young chimps	29	11/10/2018	5	1	4	1	1		
Uruhara	m	young chimps	29	11/10/2018	5	1	5	0			
Uruhara	m	young chimps	29	11/10/2018	5	1	6	0		6	
Manno	m	young chimps	5	11/10/2018	5	1	1	0			
Manno	m	young chimps	5	11/10/2018	5	1	2	1	1		
Manno	m	young chimps	5	11/10/2018	5	1	3	0			
Manno	m	young chimps	5	11/10/2018	5	1	4	1	1		
Manno	m	young chimps	5	11/10/2018	5	1	5	1	1		
Manno	m	young chimps	5	11/10/2018	5	1	6	0		7	
Jane	f	young chimps	14	11/10/2018	5	1	1	0			
Jane	f	young chimps	14	11/10/2018	5	1	2	1	0		
Jane	f	young chimps	14	11/10/2018	5	1	3	0			
Jane	f	young chimps	14	11/10/2018	5	1	4	0			
Jane	f	young chimps	14	11/10/2018	5	1	5	1			
Jane	f	young chimps	14	11/10/2018	5	1	6	0		7	
Safari	m	old chimps	34	16/11/2018	5	1	1	0			
Safari	m	old chimps	34	16/11/2018	5	1	2	0			
Safari	m	old chimps	34	16/11/2018	5	1	3	0			
Safari	m	old chimps	34	16/11/2018	5	1	4	1	1		
Safari	m	old chimps	34	16/11/2018	5	1	5	1	1		
Safari	m	old chimps	34	16/11/2018	5	1	6	1	1	5	
Angela	f	old chimps	7	16/11/2018	5	1	1	0			
Angela	f	old chimps	7	16/11/2018	5	1	2	0			
Angela	f	old chimps	7	16/11/2018	5	1	3	1	1		
Angela	f	old chimps	7	16/11/2018	5	1	4	0			
Angela	f	old chimps	7	16/11/2018	5	1	5	0			
Angela	f	old chimps	7	16/11/2018	5	1	6	0		6	
Oscar	m	old chimps	21	16/11/2018	5	1	1	0			
Oscar	m	old chimps	21	16/11/2018	5	1	2	0			
Oscar	m	old chimps	21	16/11/2018	5	1	3	0			
Oscar	m	old chimps	21	16/11/2018	5	1	4	0			
Oscar	m	old chimps	21	16/11/2018	5	1	5	0			
Oscar	m	old chimps	21	16/11/2018	5	1	6	0		6	
Judy	f	old chimps	35	16/11/2018	5	1	1	1	1		
Judy	f	old chimps	35	16/11/2018	5	1	2	0			
Judy	f	old chimps	35	16/11/2018	5	1	3	0			
Judy	f	old chimps	35	16/11/2018	5	1	4	1	1		
Judy	f	old chimps	35	16/11/2018	5	1	5	1	1		
Judy	f	old chimps	35	16/11/2018	5	1	6	1	1	5	
Alley	f	old chimps	31	16/11/2018	5	1	1	0			
Alley	f	old chimps	31	16/11/2018	5	1	2	1			
Alley	f	old chimps	31	16/11/2018	5	1	3	1			
Alley	f	old chimps	31	16/11/2018	5	1	4	0			
Alley	f	old chimps	31	16/11/2018	5	1	5	1	1		
Alley	f	old chimps	31	16/11/2018	5	1	6	0		6	
George	m	old chimps	15	16/11/2018	5	1	1	0			
George	m	old chimps	15	16/11/2018	5	1	2	0			
George	m	old chimps	15	16/11/2018	5	1	3	1	1		
George	m	old chimps	15	16/11/2018	5	1	4	0			
George	m	old chimps	15	16/11/2018	5	1	5	1			
George	m	old chimps	15	16/11/2018	5	1	6	1	1	3	
Ajabu	f	old chimps	10	16/11/2018	5	1	1	1	1		
Ajabu	f	old chimps	10	16/11/2018	5	1	2	1	1		
Ajabu	f	old chimps	10	16/11/2018	5	1	3	0			
Ajabu	f	old chimps	10	16/11/2018	5	1	4	0			
Ajabu	f	old chimps	10	16/11/2018	5	1	5	1	1		
Ajabu	f	old chimps	10	16/11/2018	5	1	6	1	1	8	
Saidia	f	old chimps	15	16/11/2018	5	1	1	1	1		
Saidia	f	old chimps	15	16/11/2018	5	1	2	0			
Saidia	f	old chimps	15	16/11/2018	5	1	3	1	1		
Saidia	f	old chimps	15	16/11/2018	5	1	4	0			
Saidia	f	old chimps	15	16/11/2018	5	1	5	0			
Saidia	f	old chimps	15	16/11/2018	5	1	6	0		3	
Safari	m	old chimps	34	17/11/2018	6	2	1	0			
Safari	m	old chimps	34	17/11/2018	6	2	2	0			
Safari	m	old chimps	34	17/11/2018	6	2	3	1	1		
Safari	m	old chimps	34	17/11/2018	6	2	4	0			
Safari	m	old chimps	34	17/11/2018	6	2	5	1	1		
Safari	m	old chimps	34	17/11/2018	6	2	6	1	1	7	
Angela	f	old chimps	7	17/11/2018	6	2	1	1	1		
