Subject	Sex	Group	Age	Date	Day	Session	trial_number	Side	chose_side	correct	Comment
Chipie	f	young chimps	27	24/10/2018	15	1	1	r	l	0	
Chipie	f	young chimps	27	24/10/2018	15	1	2	l	l	1	
Chipie	f	young chimps	27	24/10/2018	15	1	3	r	l	0	
Chipie	f	young chimps	27	24/10/2018	15	1	4	l	l	1	
Chipie	f	young chimps	27	24/10/2018	15	1	5	r	l	0	
Chipie	f	young chimps	27	24/10/2018	15	1	6	l	r	0	
Chipie	f	young chimps	27	24/10/2018	15	1	7	r	l	0	
Chipie	f	young chimps	27	24/10/2018	15	1	8	l	l	1	
Chipie	f	young chimps	27	24/10/2018	15	1	9	r	l	0	
Chipie	f	young chimps	27	24/10/2018	15	1	10	l	r	0	
Chipie	f	young chimps	27	24/10/2018	15	1	11	l	l	1	
Chipie	f	young chimps	27	24/10/2018	15	1	12	r	l	0	
Amizero	f	young chimps	29	24/10/2018	15	1	1	r	l	0	
Amizero	f	young chimps	29	24/10/2018	15	1	2	l	r	0	
Amizero	f	young chimps	29	24/10/2018	15	1	3	r	l	0	
Amizero	f	young chimps	29	24/10/2018	15	1	4	l	r	0	
Amizero	f	young chimps	29	24/10/2018	15	1	5	r	l	0	
Amizero	f	young chimps	29	24/10/2018	15	1	6	l	r	0	
Amizero	f	young chimps	29	24/10/2018	15	1	7	l	r	0	
Amizero	f	young chimps	29	24/10/2018	15	1	8	r	l	0	
Amizero	f	young chimps	29	24/10/2018	15	1	9	r	l	0	
Amizero	f	young chimps	29	24/10/2018	15	1	10	l	r	0	
Amizero	f	young chimps	29	24/10/2018	15	1	11	l	r	0	
Amizero	f	young chimps	29	24/10/2018	15	1	12	r	l	0	
Uruhara	m	young chimps	29	24/10/2018	15	1	1	r	r	1	
Uruhara	m	young chimps	29	24/10/2018	15	1	2	l	r	0	
Uruhara	m	young chimps	29	24/10/2018	15	1	3	r	l	0	
Uruhara	m	young chimps	29	24/10/2018	15	1	4	l	r	0	
Uruhara	m	young chimps	29	24/10/2018	15	1	5	r	l	0	
Uruhara	m	young chimps	29	24/10/2018	15	1	6	l	l	1	
Uruhara	m	young chimps	29	24/10/2018	15	1	7	l	r	0	
Uruhara	m	young chimps	29	24/10/2018	15	1	8	r	l	0	
Uruhara	m	young chimps	29	24/10/2018	15	1	9	r	l	0	
Uruhara	m	young chimps	29	24/10/2018	15	1	10	l	r	0	
Uruhara	m	young chimps	29	24/10/2018	15	1	11	l	l	1	
Uruhara	m	young chimps	29	24/10/2018	15	1	12	r	l	0	
Roy	m	young chimps	11	24/10/2018	15	1	1	r	l	0	
Roy	m	young chimps	11	24/10/2018	15	1	2	l	r	0	
Roy	m	young chimps	11	24/10/2018	15	1	3	r	l	0	
Roy	m	young chimps	11	24/10/2018	15	1	4	l	l	1	
Roy	m	young chimps	11	24/10/2018	15	1	5	r	l	0	
Roy	m	young chimps	11	24/10/2018	15	1	6	l	r	0	
Roy	m	young chimps	11	24/10/2018	15	1	7	l	r	0	
Roy	m	young chimps	11	24/10/2018	15	1	8	r	l	0	
Roy	m	young chimps	11	24/10/2018	15	1	9	r	l	0	
Roy	m	young chimps	11	24/10/2018	15	1	10	l	r	0	
Roy	m	young chimps	11	24/10/2018	15	1	11	l	r	0	
Roy	m	young chimps	11	24/10/2018	15	1	12	r	l	0	
Manno	m	young chimps	5	24/10/2018	15	1	1	r	l	0	
Manno	m	young chimps	5	24/10/2018	15	1	2	l	r	0	
Manno	m	young chimps	5	24/10/2018	15	1	3	r	l	0	
Manno	m	young chimps	5	24/10/2018	15	1	4	l	r	0	
Manno	m	young chimps	5	24/10/2018	15	1	5	r	l	0	
Manno	m	young chimps	5	24/10/2018	15	1	6	l	r	0	
Manno	m	young chimps	5	24/10/2018	15	1	7	l	r	0	
Manno	m	young chimps	5	24/10/2018	15	1	8	r	l	0	
Manno	m	young chimps	5	24/10/2018	15	1	9	r	l	0	
Manno	m	young chimps	5	24/10/2018	15	1	10	l	r	0	
Manno	m	young chimps	5	24/10/2018	15	1	11	l	r	0	
Manno	m	young chimps	5	24/10/2018	15	1	12	r	l	0	
Jane	f	young chimps	14	24/10/2018	15	1	1	r	l	0	
Jane	f	young chimps	14	24/10/2018	15	1	2	l	l	1	
Jane	f	young chimps	14	24/10/2018	15	1	3	r	l	0	
Jane	f	young chimps	14	24/10/2018	15	1	4	l	r	0	
Jane	f	young chimps	14	24/10/2018	15	1	5	r	l	0	
Jane	f	young chimps	14	24/10/2018	15	1	6	l	r	0	
Jane	f	young chimps	14	24/10/2018	15	1	7	l	r	0	
Jane	f	young chimps	14	24/10/2018	15	1	8	r	l	0	
Jane	f	young chimps	14	24/10/2018	15	1	9	r	l	0	
Jane	f	young chimps	14	24/10/2018	15	1	10	l	l	1	
Jane	f	young chimps	14	24/10/2018	15	1	11	l	l	1	
Jane	f	young chimps	14	24/10/2018	15	1	12	r	l	0	
William	m	young chimps	18	24/10/2018	15	1	1	r	l	0	
William	m	young chimps	18	24/10/2018	15	1	2	l	r	0	
William	m	young chimps	18	24/10/2018	15	1	3	r	l	0	
William	m	young chimps	18	24/10/2018	15	1	4	l	r	0	
William	m	young chimps	18	24/10/2018	15	1	5	l	r	0	
William	m	young chimps	18	24/10/2018	15	1	6	r	l	0	
William	m	young chimps	18	24/10/2018	15	1	7	l	r	0	
William	m	young chimps	18	24/10/2018	15	1	8	r	l	0	
William	m	young chimps	18	24/10/2018	15	1	9	r	l	0	
William	m	young chimps	18	24/10/2018	15	1	10	l	r	0	
William	m	young chimps	18	24/10/2018	15	1	11	l	r	0	
William	m	young chimps	18	24/10/2018	15	1	12	l	r	0	
Tess	f	young chimps	26	24/10/2018	15	1	1	r	l	0	
Tess	f	young chimps	26	24/10/2018	15	1	2	l	r	0	
Tess	f	young chimps	26	24/10/2018	15	1	3	r	r	1	
Tess	f	young chimps	26	24/10/2018	15	1	4	l	r	0	
Tess	f	young chimps	26	24/10/2018	15	1	5	r	l	0	Tess grabed the transparent box
Tess	f	young chimps	26	24/10/2018	15	1	6	r	l	0	Tess grabed the transparent box
Tess	f	young chimps	26	25/10/2018	15	1	7	l	r	0	
Tess	f	young chimps	26	25/10/2018	15	1	8	l	r	0	
Tess	f	young chimps	26	25/10/2018	15	1	9	r	l	0	
Tess	f	young chimps	26	25/10/2018	15	1	10	l	r	0	
Tess	f	young chimps	26	25/10/2018	15	1	11	r	l	0	
Tess	f	young chimps	26	25/10/2018	15	1	12	l	r	0	
Chipie	f	young chimps	27	25/10/2018	15	2	1	r	l	0	
Chipie	f	young chimps	27	25/10/2018	15	2	2	l	l	1	
Chipie	f	young chimps	27	25/10/2018	15	2	3	r	l	0	
Chipie	f	young chimps	27	25/10/2018	15	2	4	l	r	0	
Chipie	f	young chimps	27	25/10/2018	15	2	5	r	l	0	
Chipie	f	young chimps	27	25/10/2018	15	2	6	l	l	1	
Chipie	f	young chimps	27	25/10/2018	15	2	7	l	l	1	
Chipie	f	young chimps	27	25/10/2018	15	2	8	l	l	1	
Chipie	f	young chimps	27	25/10/2018	15	2	9	r	l	0	
Chipie	f	young chimps	27	25/10/2018	15	2	10	r	l	0	
Chipie	f	young chimps	27	25/10/2018	15	2	11	l	l	1	
Chipie	f	young chimps	27	25/10/2018	15	2	12	l	l	1	
Chipie	f	young chimps	27	25/10/2018	15	2	13	r	l	0	
Amizero	f	young chimps	29	25/10/2018	15	2	1	r	r	1	
Amizero	f	young chimps	29	25/10/2018	15	2	2	l	r	0	
Amizero	f	young chimps	29	25/10/2018	15	2	3	r	r	1	
Amizero	f	young chimps	29	25/10/2018	15	2	4	l	r	0	
Amizero	f	young chimps	29	25/10/2018	15	2	5	r	l	0	
Amizero	f	young chimps	29	25/10/2018	15	2	6	l	r	0	
Amizero	f	young chimps	29	25/10/2018	15	2	7	l	r	0	
Amizero	f	young chimps	29	25/10/2018	15	2	8	r	r	1	
Amizero	f	young chimps	29	25/10/2018	15	2	9	r	r	1	
Amizero	f	young chimps	29	25/10/2018	15	2	10	l	r	0	
Amizero	f	young chimps	29	25/10/2018	15	2	11	l	r	0	
Amizero	f	young chimps	29	25/10/2018	15	2	12	r	l	0	
Uruhara	m	young chimps	29	25/10/2018	15	2	1	r	l	0	
Uruhara	m	young chimps	29	25/10/2018	15	2	2	l	r	0	
Uruhara	m	young chimps	29	25/10/2018	15	2	3	r	r	1	
Uruhara	m	young chimps	29	25/10/2018	15	2	4	l	r	0	
Uruhara	m	young chimps	29	25/10/2018	15	2	5	r	r	1	2 pieces of food in opaque box
