Subject	Sex	Group	Age	Date	Day	Session	Condition	trial_number	Side	baited_distractor	chose_side	correct	Comment	side_changes	material_changes	chosen_distractor	SessionED
Amizero	f	young chimps	29	17/10/2018	8	2	SD	1	r		r	1					
Amizero	f	young chimps	29	17/10/2018	8	2	SD	2	l		r	0		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SD	3	l		l	1		no			
Amizero	f	young chimps	29	17/10/2018	8	2	SD	4	r		r	1		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SD	5	l		r	0		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SD	6	r		r	1		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SD	7	l		l	1		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SD	8	r		r	1		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SD	9	l		l	1		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SD	10	r		r	1		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SD	11	r		r	1		no			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	1	l		r	0					
Amizero	f	young chimps	29	17/10/2018	8	2	SR	2	l		l	1		no			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	3	r		r	1		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	4	r		l	0		no			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	5	l		r	0		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	6	r		l	0		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	7	l		r	0		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	8	r		l	0		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	9	l		r	0		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	10	l		r	0		no			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	11	r		l	0		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	12	r		l	0		no			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	13	l		r	0		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	14	r		l	0		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	15	l		r	0		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	16	l		r	0		no			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	17	r		l	0		yes			
Amizero	f	young chimps	29	17/10/2018	8	2	SR	18	l		r	0		yes			
Amizero	f	young chimps	29	18/10/2018	8	3	SR	19	l		r	0	incorrect box was baited; e mistake	no			
Amizero	f	young chimps	29	18/10/2018	8	3	SR	20	l		r	0		no			
Amizero	f	young chimps	29	18/10/2018	8	3	SR	21	r		l	0		yes			
Amizero	f	young chimps	29	18/10/2018	8	3	SR	22	l		r	0		yes			
Amizero	f	young chimps	29	18/10/2018	8	3	SR	23	r		l	0		yes			
Amizero	f	young chimps	29	18/10/2018	8	3	SR	24	r		r	1		no			
Chipie	f	young chimps	27	17/10/2018	8	2	SD	1	r		l	0					
Chipie	f	young chimps	27	17/10/2018	8	2	SD	2	l		r	0		yes			
Chipie	f	young chimps	27	17/10/2018	8	2	SD	3	l		r	0		no			
Chipie	f	young chimps	27	17/10/2018	8	2	SD	4	r		r	1		yes			
Chipie	f	young chimps	27	17/10/2018	8	2	SD	5	l		l	1		yes			
Chipie	f	young chimps	27	17/10/2018	8	2	SD	6	r		r	1		yes			
Chipie	f	young chimps	27	17/10/2018	8	2	SD	7	l		l	1		yes			
Chipie	f	young chimps	27	17/10/2018	8	2	SD	8	r		r	1		yes			
Chipie	f	young chimps	27	17/10/2018	8	2	SD	9	l		l	1		yes			
