Subject	Sex	Species	Age	Breeding	Session	Block	Trial	Trial_con	Trial_test	phase	condition	side	date	first_move_LR	first_move_correct	Change_latency_code	Change_latency_value	Change_position_code	Change_position_value	StartPos_latency_code	StartPos_latency_value	food_retrieved_code	food_retrieved_latency	initial_time_code	initial_time	comment
Bangolo	m	chimpanzee	8	parent	1	1	1	1		p_training	training	r	43092.50359	l	0							et	28140			
Bangolo	m	chimpanzee	8	parent	1	1	2	2		p_training	training	r	43092.50383	r	1							et	488			
Bangolo	m	chimpanzee	8	parent	1	1	3	3		p_training	training	r	43092.50402	r	1							et	667			
Bangolo	m	chimpanzee	8	parent	1	1	4	4		p_training	training	l	43092.50479	r	0							et				got food on incorrect side by flipping the box up
Bangolo	m	chimpanzee	8	parent	1	1	5	5		p_training	training	l	43092.50591	r	0							et	2319			
Bangolo	m	chimpanzee	8	parent	1	1	6	6		p_training	training	l	43092.50623	r	0							et	2348			
Bangolo	m	chimpanzee	8	parent	1	1	7	7		p_training	training	r	43092.50639	r	1							et	479			
Bangolo	m	chimpanzee	8	parent	1	1	8	8		p_training	training	l	43092.50656	r	0							et	2280			
Bangolo	m	chimpanzee	8	parent	1	1	9	9		p_training	training	l	43092.50669	r	0							et	1279			
Bangolo	m	chimpanzee	8	parent	1	1	10	10		p_training	training	r	43092.50683	r	1							et	375			
Bangolo	m	chimpanzee	8	parent	1	1	11	11		p_training	training	l	43092.50698	r	0							et	2421			
Bangolo	m	chimpanzee	8	parent	1	1	12	12		p_training	training	r	43092.50733	r	1							et	682			
Bangolo	m	chimpanzee	8	parent	1	2	13	13		p_training	training	l	43092.5076	r	0							et	2079			
Bangolo	m	chimpanzee	8	parent	1	2	14	14		p_training	training	l	43092.50774	l	1							et	368			
Bangolo	m	chimpanzee	8	parent	1	2	15	15		p_training	training	r	43092.50787	l	0							et	2510			
Bangolo	m	chimpanzee	8	parent	1	2	16	16		p_training	training	r	43092.50807	r	1							et	388			
Bangolo	m	chimpanzee	8	parent	1	2	17	17		p_training	training	l	43092.50838	r	0							et	14614			
Bangolo	m	chimpanzee	8	parent	1	2	18	18		p_training	training	l	43092.50863	l	1							et	623			
Bangolo	m	chimpanzee	8	parent	1	2	19	19		p_training	training	l	43092.50903	l	1							et	13969			"latency incorrect, food was not in the food container when he started to move the box"
Bangolo	m	chimpanzee	8	parent	1	2	20	20		p_training	training	r	43092.50949	l	0							et	2110			
Bangolo	m	chimpanzee	8	parent	1	2	21	21		p_training	training	r	43092.50962	r	1							et	698			
Bangolo	m	chimpanzee	8	parent	1	2	22	22		p_training	training	r	43092.50976	r	1							et	570			
Bangolo	m	chimpanzee	8	parent	1	2	23	23		p_training	training	r	43092.50986	r	1							et	663			
Bangolo	m	chimpanzee	8	parent	1	2	24	24		p_training	training	l	43092.51005	r	0							et	5166			
Bangolo	m	chimpanzee	8	parent	2	1	1	25		p_training	training	l	43096.48185	r	0							et	3690			
Bangolo	m	chimpanzee	8	parent	2	1	2	26		p_training	training	r	43096.48238	l	0							et	2680			
Bangolo	m	chimpanzee	8	parent	2	1	3	27		p_training	training	r	43096.48253	r	1							et	593			
Bangolo	m	chimpanzee	8	parent	2	1	4	28		p_training	training	l	43096.48272	r	0							et	2826			
Bangolo	m	chimpanzee	8	parent	2	1	5	29		p_training	training	l	43096.48287	l	1							et	557			
Bangolo	m	chimpanzee	8	parent	2	1	6	30		p_training	training	l	43096.48307	l	1							et	721			
Bangolo	m	chimpanzee	8	parent	2	1	7	31		p_training	training	r	43096.48324	l	0							et	2644			
Bangolo	m	chimpanzee	8	parent	2	1	8	32		p_training	training	r	43096.48343	r	1							et	676			
Bangolo	m	chimpanzee	8	parent	2	1	9	33		p_training	training	r	43096.48356	r	1							et	717			
Bangolo	m	chimpanzee	8	parent	2	1	10	34		p_training	training	l	43096.48372	l	1							et	1091			
Bangolo	m	chimpanzee	8	parent	2	1	11	35		p_training	training	r	43096.4839	l	0							et	1875			
Bangolo	m	chimpanzee	8	parent	2	1	12	36		p_training	training	l	43096.48406	l	1							et	516			
Bangolo	m	chimpanzee	8	parent	2	2	13	37		p_training	training	r	43096.48428	r	1							et	795			
Bangolo	m	chimpanzee	8	parent	2	2	14	38		p_training	training	l	43096.48468	l	1							et	689			
Bangolo	m	chimpanzee	8	parent	2	2	15	39		p_training	training	r	43096.48483	r	1							et	578			
Bangolo	m	chimpanzee	8	parent	2	2	16	40		p_training	training	l	43096.48501	r	0							et	1652			
Bangolo	m	chimpanzee	8	parent	2	2	17	41		p_training	training	r	43096.48519	l	0							et	887			
Bangolo	m	chimpanzee	8	parent	2	2	18	42		p_training	training	r	43096.48537	r	1							et	643			
Bangolo	m	chimpanzee	8	parent	2	2	19	43		p_training	training	r	43096.48572	r	1							et	795			
Bangolo	m	chimpanzee	8	parent	2	2	20	44		p_training	training	l	43096.48595	r	0							et	1082			
Bangolo	m	chimpanzee	8	parent	2	2	21	45		p_training	training	l	43096.48616	l	1							et	701			
Bangolo	m	chimpanzee	8	parent	2	2	22	46		p_training	training	r	43096.48637	r	1							et	453			
Bangolo	m	chimpanzee	8	parent	2	2	23	47		p_training	training	l	43096.4866	l	1							et	641			
Bangolo	m	chimpanzee	8	parent	2	2	24	48		p_training	training	l	43096.48679	l	1							et	579			
Bangolo	m	chimpanzee	8	parent	3	1	1	49		p_training	training	l	43097.45032	r	0							et	653	it	1524	
Bangolo	m	chimpanzee	8	parent	3	1	2	50		p_training	training	l	43097.45054	l	1							et	535	it	967	
Bangolo	m	chimpanzee	8	parent	3	1	3	51		p_training	training	r	43097.45076	l	0							et	774	it	1279	
Bangolo	m	chimpanzee	8	parent	3	1	4	52		p_training	training	r	43097.4509	r	1							et	570	it	1828	
Bangolo	m	chimpanzee	8	parent	3	1	5	53		p_training	training	l	43097.45106	l	1							et	566	it	1564	
Bangolo	m	chimpanzee	8	parent	3	1	6	54		p_training	training	l	43097.45128	l	1							et	1082	it	1745	
Bangolo	m	chimpanzee	8	parent	3	1	7	55		p_training	training	r	43097.45144	r	1							et	614	it	1233	
Bangolo	m	chimpanzee	8	parent	3	1	8	56		p_training	training	r	43097.45164	r	1							et	590	it	2420	
Bangolo	m	chimpanzee	8	parent	3	1	9	57		p_training	training	l	43097.45183	l	1							et	517	it	2329	
Bangolo	m	chimpanzee	8	parent	3	1	10	58		p_training	training	l	43097.45205	r	0							et	988	it	1269	
Bangolo	m	chimpanzee	8	parent	3	1	11	59		p_training	training	r	43097.45226	r	1							et	586	it	1138	
Bangolo	m	chimpanzee	8	parent	3	1	12	60		p_training	training	r	43097.45247	r	1							et	639	it	1028	
Bangolo	m	chimpanzee	8	parent	3	2	13	61		p_training	training	r	43097.4528	r	1							et	609	it	1436	
Bangolo	m	chimpanzee	8	parent	3	2	14	62		p_training	training	r	43097.45296	r	1							et	510	it	1050	
Bangolo	m	chimpanzee	8	parent	3	2	15	63		p_training	training	l	43097.4531	r	0							et	900	it	1058	
Bangolo	m	chimpanzee	8	parent	3	2	16	64		p_training	training	l	43097.45325	l	1							et	585	it	1004	
Bangolo	m	chimpanzee	8	parent	3	2	17	65		p_training	training	r	43097.4534	r	1							et	453	it	1439	
Bangolo	m	chimpanzee	8	parent	3	2	18	66		p_training	training	l	43097.45358	l	1							et	439	it	1519	
Bangolo	m	chimpanzee	8	parent	3	2	19	67		p_training	training	r	43097.45384	r	1							et	451	it	2060	
Bangolo	m	chimpanzee	8	parent	3	2	20	68		p_training	training	l	43097.45402	l	1							et	596	it	1544	
Bangolo	m	chimpanzee	8	parent	3	2	21	69		p_training	training	r	43097.4542	r	1							et	433	it	2472	
Bangolo	m	chimpanzee	8	parent	3	2	22	70		p_training	training	l	43097.45438	l	1							et	553	it	1099	
Bangolo	m	chimpanzee	8	parent	3	2	23	71		p_training	training	r	43097.45464	r	1							et	423	it	1377	
Bangolo	m	chimpanzee	8	parent	3	2	24	72		p_training	training	l	43097.45508	l	1							et	363	it	2661	
Bangolo	m	chimpanzee	8	parent	4	1	1	73		p_test	training	l	43098.47801	r	0							et	586	it	809	
Bangolo	m	chimpanzee	8	parent	4	1	2	74	1	p_test	test	l	43098.47836	l	1	ct	452	cp	9	st	2143					
Bangolo	m	chimpanzee	8	parent	4	1	3	75		p_test	training	r	43098.47867	r	1							et	644	it	1611	
Bangolo	m	chimpanzee	8	parent	4	1	4	76		p_test	training	l	43098.47895	l	1							et	1570	it	1709	
Bangolo	m	chimpanzee	8	parent	4	1	5	77		p_test	training	l	43098.47917	l	1							et	534	it	772	
Bangolo	m	chimpanzee	8	parent	4	1	6	78		p_test	training	r	43098.47946	l	0							et	3318	it	1969	
