trial.id	Subject	Sex	Species	Age	Date	Session	Trial	condition	side	first_move_LR	first_move_correct	Change_latency_code	Change_latency_value	Change_position_code	Change_position_value	StartPos_latency_code	StartPos_latency_value	food_retrieved_code	food_retrieved_latency	comment	side_change	firsttest_trial_number	Trial_test
1	William	m	young chimps	18	22/10/2018	1	1	training	r	l	i							et	18203			0	
2	William	m	young chimps	18	22/10/2018	1	2	training	r	r	c									not recorded	no	0	
3	William	m	young chimps	18	22/10/2018	1	3	training	l	r	i							et	12784		yes	0	
4	William	m	young chimps	18	22/10/2018	1	4	training	r	r	c							et	490		yes	0	
5	William	m	young chimps	18	22/10/2018	1	5	training	l	l	c							et	3488		yes	0	
6	William	m	young chimps	18	22/10/2018	1	6	training	l	l	c							et	771		no	0	
7	William	m	young chimps	18	22/10/2018	1	7	training	r	l	i							et	11455		yes	0	
8	William	m	young chimps	18	22/10/2018	1	8	training	l	r	i							et	6518		yes	0	
9	William	m	young chimps	18	22/10/2018	1	9	training	l	l	c							et	2243		no	0	
10	William	m	young chimps	18	22/10/2018	1	10	test	r	l	i	ct	1905	cp	22	st	2784				yes	1	1
11	William	m	young chimps	18	22/10/2018	1	11	training	l	l	c							et	352		yes	0	
12	William	m	young chimps	18	22/10/2018	1	12	test	l	l	c	ct	5565	cp	21	st	5692				no	0	2
13	William	m	young chimps	18	22/10/2018	1	13	training	r	r	c							et	1279		yes	0	
14	William	m	young chimps	18	22/10/2018	1	14	training	r	r	c							et	345		no	0	
15	William	m	young chimps	18	22/10/2018	1	15	test	l	r	i	ct	1856	cp	19	st	4217				yes	0	3
16	William	m	young chimps	18	22/10/2018	1	16	training	r	r	c							et	281		yes	0	
17	William	m	young chimps	18	22/10/2018	1	17	training	l	r	i							et	2545		yes	0	
18	William	m	young chimps	18	22/10/2018	1	18	training	l	l	c							et	256		no	0	
19	William	m	young chimps	18	22/10/2018	1	19	test	r	r	c	ct	7820	cp	13	st	7868				yes	0	4
20	William	m	young chimps	18	22/10/2018	1	20	training	l	l	c							et	410		yes	0	
21	William	m	young chimps	18	22/10/2018	1	21	training	r	r	c							et	327		yes	0	
22	William	m	young chimps	18	22/10/2018	1	22	training	l	l	c							et	1088		yes	0	
23	William	m	young chimps	18	22/10/2018	1	23	test	r	r	c	ct	1804	cp	22	st	2027				yes	0	5
24	William	m	young chimps	18	22/10/2018	1	24	training	r	l	i							et	3854		no	0	
25	William	m	young chimps	18	22/10/2018	1	25	training	r	r	c							et	385		no	0	
26	William	m	young chimps	18	22/10/2018	1	26	training	r	r	c							et	307		no	0	
27	William	m	young chimps	18	22/10/2018	1	27	training	l	r	i							et	2825		yes	0	
28	William	m	young chimps	18	22/10/2018	1	28	test	l	r	i	ct	2306	cp	21	st	2630				no	0	6
29	William	m	young chimps	18	22/10/2018	1	29	training	l	r	i							et	1547		no	0	
30	William	m	young chimps	18	23/10/2018	2	30	training	l	l	c							et	511			0	
31	William	m	young chimps	18	23/10/2018	2	31	training	r	l	i							et	2023		yes	0	
32	William	m	young chimps	18	23/10/2018	2	32	training	r	r	c							et	499		no	0	
33	William	m	young chimps	18	23/10/2018	2	33	training	l	r	i							et	3281		yes	0	
34	William	m	young chimps	18	23/10/2018	2	34	training	l	l	c							et	457		no	0	
35	William	m	young chimps	18	23/10/2018	2	35	training	r	l	i							et	3471		yes	0	
36	William	m	young chimps	18	23/10/2018	2	36	training	l	l	c							et	512		yes	0	
37	William	m	young chimps	18	23/10/2018	2	37	training	r	r	c							et	528		yes	0	
38	William	m	young chimps	18	23/10/2018	2	38	test	l	l	c	ct	1704	cp	21	st	3878				yes	0	7
39	William	m	young chimps	18	23/10/2018	2	39	training	r	r	c							et	436		yes	0	
40	William	m	young chimps	18	23/10/2018	2	40	test	r	r	c	ct	1655	cp	21	st	1993				no	0	8
41	William	m	young chimps	18	23/10/2018	2	41	training	l	l	c							et	488		yes	0	
42	William	m	young chimps	18	23/10/2018	2	42	training	l	l	c							et	525		no	0	
43	William	m	young chimps	18	23/10/2018	2	43	training	r	r	c							et	478		yes	0	
44	William	m	young chimps	18	23/10/2018	2	44	training	r	r	c							et	706		no	0	
45	William	m	young chimps	18	23/10/2018	2	45	training	r	r	c							et	723		no	0	
46	William	m	young chimps	18	23/10/2018	2	46	training	l	l	c							et	514		yes	0	
47	William	m	young chimps	18	23/10/2018	2	47	test	l	l	c	ct	1805	cp	12	st	1916				no	0	9
