Subject	Sex	Species	Age	Date	Day	Session	trial_number	Condition	P1_baited	P2_baited	Choice_P1	Correct_P1	Choice_P2	Correct_P2	count_mistakes	Comment
Safari	m	old chimps	34	18/11/2018	6	1	1	warm-up	2		2	1				
Safari	m	old chimps	34	18/11/2018	6	1	2	warm-up	4		3	0				
Safari	m	old chimps	34	18/11/2018	6	1	1	test	3	2	3	1	4	0	1	
Safari	m	old chimps	34	18/11/2018	6	1	2	test	4	3	4	1	4	0	1	
Safari	m	old chimps	34	18/11/2018	6	1	3	test	1	4	4	0	4	1	1	
Safari	m	old chimps	34	18/11/2018	6	1	4	test	2	1	3	0	2	0	2	
Safari	m	old chimps	34	18/11/2018	6	1	5	test	4	2	3	0	2	1	1	
Safari	m	old chimps	34	18/11/2018	6	1	6	test	1	1	4	0	1	1	1	
Safari	m	old chimps	34	18/11/2018	6	1	7	test	3	4	3	1	2	0	1	
Safari	m	old chimps	34	18/11/2018	6	1	8	test	2	3	4	0	3	1	1	
Angela	f	old chimps	7	18/11/2018	6	1	1	warm-up	2		3	0				
Angela	f	old chimps	7	18/11/2018	6	1	2	warm-up	4		4	1				
Angela	f	old chimps	7	18/11/2018	6	1	1	test	3	2	4	0	1	0	2	
Angela	f	old chimps	7	18/11/2018	6	1	2	test	4	3	3	0	2	0	2	
Angela	f	old chimps	7	18/11/2018	6	1	3	test	1	4	3	0	2	0	2	
Angela	f	old chimps	7	18/11/2018	6	1	4	test	2	1	4	0	3	0	2	
Angela	f	old chimps	7	18/11/2018	6	1	5	test	4	2	3	0	4	0	2	
Angela	f	old chimps	7	18/11/2018	6	1	6	test	1	1	4	0	-			no second response within 1 min
Angela	f	old chimps	7	18/11/2018	6	1	7	test	3	4	3	1	3	0	1	
Angela	f	old chimps	7	18/11/2018	6	1	8	test	2	3	3	0	4	0	2	
Saidia	f	old chimps	15	18/11/2018	6	1	1	warm-up	2		2	1				
Saidia	f	old chimps	15	18/11/2018	6	1	2	warm-up	4		2	0				
Saidia	f	old chimps	15	18/11/2018	6	1	1	test	3	2	2	0				
Saidia	f	old chimps	15	18/11/2018	6	1	2	test	4	3	2	0	1	0	2	
Saidia	f	old chimps	15	18/11/2018	6	1	3	test	1	4	2	0	1	0	2	"did not approach platform within 5 min after this trial, session stopped"
Saidia	f	old chimps	15		6	1	4	test	2	1						
Saidia	f	old chimps	15		6	1	5	test	4	2						
Saidia	f	old chimps	15		6	1	6	test	1	1						
Saidia	f	old chimps	15		6	1	7	test	3	4						
Saidia	f	old chimps	15		6	1	8	test	2	3						
Ajabu	f	old chimps	10	18/11/2018	6	1	1	warm-up	2		2	1				
Ajabu	f	old chimps	10	18/11/2018	6	1	2	warm-up	4		1	0				
Ajabu	f	old chimps	10	18/11/2018	6	1	1	test	3	2	3	1	2	1	0	
Ajabu	f	old chimps	10	18/11/2018	6	1	2	test	4	3	2	0	2	0	2	
Ajabu	f	old chimps	10	18/11/2018	6	1	3	test	1	4	4	0	3	0	2	
Ajabu	f	old chimps	10	18/11/2018	6	1	4	test	2	1	4	0	1	1	1	
Ajabu	f	old chimps	10	18/11/2018	6	1	5	test	1	2	3	0	1	0	2	
Ajabu	f	old chimps	10	18/11/2018	6	1	6	test	1	1	4	0	2	0	2	
Ajabu	f	old chimps	10	18/11/2018	6	1	7	test	3	4	3	1	1	0	1	
