Subject	Sex	Group	Age	Date	Condition	Number_boxes	Trial_number	trial_correct	number_redundant_searched	1st_choice	2nd_choice	second_choice_correct	third_choice	third_choice_correct	comment
Manno	m	young chimps	5	07/12/2018	one_platform	2	1	0	1	1	1	0			
Manno	m	young chimps	5	07/12/2018	one_platform	2	2	0	1	1	1	0			
Manno	m	young chimps	5	07/12/2018	one_platform	2	3	0	1	1	1	0			
Manno	m	young chimps	5	07/12/2018	one_platform	2	4	1	0	2	1	1			
Manno	m	young chimps	5	07/12/2018	one_platform	2	5	1	0	2	1	1			
Manno	m	young chimps	5	07/12/2018	one_platform	2	6	0	1	1	1	0			
Manno	m	young chimps	5	07/12/2018	one_platform	3	1	0	2	3	3	0	3	0	
Manno	m	young chimps	5	07/12/2018	one_platform	3	2	0	1	3	1	1	3	0	
Manno	m	young chimps	5	07/12/2018	one_platform	3	3	0	1	2	1	1	1	0	
Manno	m	young chimps	5	07/12/2018	one_platform	3	4	0	1	2	3	1	3	0	
Manno	m	young chimps	5	07/12/2018	one_platform	3	5	1	0	1	3	1	2	1	
Manno	m	young chimps	5	07/12/2018	one_platform	3	6	0	1	1	1	0	2	1	
Tess	f	young chimps	26	06/12/2018	one_platform	2	1	0	1	2	2	0			
Tess	f	young chimps	26	06/12/2018	one_platform	2	2	0	1	2	2	0			
Tess	f	young chimps	26	06/12/2018	one_platform	2	3	0	1	2	2	0			
Tess	f	young chimps	26	06/12/2018	one_platform	2	4	0	1	2	2	0			
Tess	f	young chimps	26	06/12/2018	one_platform	2	5	1	0	2	1	1			
Tess	f	young chimps	26	06/12/2018	one_platform	2	6	1	0	2	1	1			
Tess	f	young chimps	26	06/12/2018	one_platform	3	1	0	1	3	2	1	2	0	
Tess	f	young chimps	26	06/12/2018	one_platform	3	2	0	1	3	2	1	2	0	
Tess	f	young chimps	26	06/12/2018	one_platform	3	3	0	1	2	2	0	3	1	
Tess	f	young chimps	26	06/12/2018	one_platform	3	4	0	1	2	3	1	3	0	
Tess	f	young chimps	26	06/12/2018	one_platform	3	5	0	1	2	3	1	3	0	
Tess	f	young chimps	26	06/12/2018	one_platform	3	6	0	1	2	3	1	2	0	
William	m	young chimps	18	07/12/2018	one_platform	2	1	0	1	2	2	0			
William	m	young chimps	18	07/12/2018	one_platform	2	2	1	0	2	1	1			
William	m	young chimps	18	07/12/2018	one_platform	2	3	1	0	2	1	1			
William	m	young chimps	18	07/12/2018	one_platform	2	4	1	0	2	1	1			
William	m	young chimps	18	07/12/2018	one_platform	2	5	1	0	1	2	1			
William	m	young chimps	18	07/12/2018	one_platform	2	6	1	0	1	2	1			
William	m	young chimps	18	07/12/2018	one_platform	3	1	1	0	3	1	1	2	1	
William	m	young chimps	18	07/12/2018	one_platform	3	2	0	1	2	3	1	2	0	
William	m	young chimps	18	07/12/2018	one_platform	3	3	1	0	2	3	1	1	1	
William	m	young chimps	18	07/12/2018	one_platform	3	4	1	0	3	1	1	2	1	
William	m	young chimps	18	07/12/2018	one_platform	3	5	1	0	3	1	1	2	1	
William	m	young chimps	18	07/12/2018	one_platform	3	6	1	0	3	1	1	2	1	
Uruhara	m	young chimps	29	07/12/2018	one_platform	2	1	1	0	1	2	1			
Uruhara	m	young chimps	29	07/12/2018	one_platform	2	2	0	1	2	2	0			
Uruhara	m	young chimps	29	07/12/2018	one_platform	2	3	0	1	2	2	0			
Uruhara	m	young chimps	29	07/12/2018	one_platform	2	4	0	1	2	2	0			
Uruhara	m	young chimps	29	07/12/2018	one_platform	2	5	1	0	2	1	1			
Uruhara	m	young chimps	29	07/12/2018	one_platform	2	6	1	0	2	1	1			
Uruhara	m	young chimps	29	07/12/2018	one_platform	3	1	0	1	3	3	0			
Uruhara	m	young chimps	29	07/12/2018	one_platform	3	2	0	1	3	2	1	3	1	
Uruhara	m	young chimps	29	07/12/2018	one_platform	3	3	0	1	3	3	0	2	0	
Uruhara	m	young chimps	29	07/12/2018	one_platform	3	4	0	1	3	2	1	3	1	
Uruhara	m	young chimps	29	07/12/2018	one_platform	3	5	0	1	3	2	1	2	0	
Uruhara	m	young chimps	29	07/12/2018	one_platform	3	6	0	1	3	3	0	2	0	
Amizero	f	young chimps	29	07/12/2018	one_platform	2	1	1	0	1	2	1			
Amizero	f	young chimps	29	07/12/2018	one_platform	2	2	1	0	1	2	1			
Amizero	f	young chimps	29	07/12/2018	one_platform	2	3	1	0	2	1	1			
Amizero	f	young chimps	29	07/12/2018	one_platform	2	4	1	0	2	1	1			
Amizero	f	young chimps	29	07/12/2018	one_platform	2	5	1	0	2	1	1			
Amizero	f	young chimps	29	07/12/2018	one_platform	2	6	1	0	1	2	1			
Amizero	f	young chimps	29	07/12/2018	one_platform	3	1	1	0	3	2	1	1	1	
