Subject	Gender	Group	Age	Date	Trial	Type	Grid	2nd task	Nr. Until find Grid	choice P2	corr P2	Comment	choice01	choice01_x	choice01_y	food_x	food_y	distance_c01
William	m	young chimps	18		1	warm-up	8		1				8	4	2	4	2	0
William	m	young chimps	18		2	warm-up	3		9				8	4	2	3	1	1.414213562
William	m	young chimps	18		1	test	9	1->2	4	2	1		6	2	2	1	3	1.414213562
William	m	young chimps	18		2	test	6	3->1	1	1	1		6	2	2	2	2	0
William	m	young chimps	18		3	test	10	2->3	6	3	1		5	1	2	2	3	1.414213562
William	m	young chimps	18		4	test	12	3->2	13	2	1		10	2	3	4	3	2
William	m	young chimps	18		5	test	2	2->1	4	2	0		6	2	2	2	1	1
William	m	young chimps	18		6	test	11	1->3	11	3	1		10	2	3	3	3	1
William	m	young chimps	18		7	test	5	1->2	1	2	1		6	2	2	1	2	1
William	m	young chimps	18		8	test	3	3->2	3	3	0		6	2	2	3	1	1.414213562
William	m	young chimps	18		9	test	14	1->3	36	3	1		2	2	1	2	4	3
William	m	young chimps	18		10	test	8	2->1	9	1	1		6	2	2	4	2	2
William	m	young chimps	18		11	test	7	3->1	6	1	1		6	2	2	3	2	1
William	m	young chimps	18		12	test	15	2->3	19	2	0		7	3	2	3	4	2
Roy 	m	young chimps	11		1	warm-up	8		6				9	1	3	4	2	3.16227766
Roy 	m	young chimps	11		2	warm-up	3		1				3	3	1	3	1	0
Roy 	m	young chimps	11		1	test	9	1->2	2	1	0		10	2	3	1	3	1
Roy 	m	young chimps	11		2	test	6	3->1	1	1	1		6	2	2	2	2	0
Roy 	m	young chimps	11		3	test	10	2->3	6	3	1		6	2	2	2	3	1
Roy 	m	young chimps	11		4	test	12	3->2	10	2	1		6	2	2	4	3	2.236067977
Roy 	m	young chimps	11		5	test	2	2->1	10	1	1		6	2	2	2	1	1
Roy 	m	young chimps	11		6	test	11	1->3	2	1	0		10	2	3	3	3	1
Roy 	m	young chimps	11		7	test	5	1->2	14	2	1		11	3	3	1	2	2.236067977
Roy 	m	young chimps	11		8	test	3	3->2	4	2	1		6	2	2	3	1	1.414213562
Roy 	m	young chimps	11		9	test	14	1->3	13	3	1		10	2	3	2	4	1
Roy 	m	young chimps	11		10	test	8	2->1	5	1	1		10	2	3	4	2	2.236067977
Roy 	m	young chimps	11		11	test	7	3->1	4	1	1		14	2	4	3	2	2.236067977
Roy 	m	young chimps	11		12	test	15	2->3	2	3	1		11	3	3	3	4	1
Tess	f	young chimps	26		1	warm-up	8		1				8	4	2	4	2	0
Tess	f	young chimps	26		2	warm-up	3		5				14	2	4	3	1	3.16227766
Tess	f	young chimps	26		1	test	9	1->2	12	1	0		4	4	1	1	3	3.605551275
Tess	f	young chimps	26		2	test	6	3->1	3	1	1		8	4	2	2	2	2
Tess	f	young chimps	26		3	test	10	2->3	5	3	1		6	2	2	2	3	1
Tess	f	young chimps	26		4	test	12	3->2	1	3	0		12	4	3	4	3	0
Tess	f	young chimps	26		5	test	2	2->1	8	1	1		6	2	2	2	1	1
Tess	f	young chimps	26		6	test	11	1->3	41	1	1		5	1	2	3	3	2.236067977
Tess	f	young chimps	26		7	test	5	1->2	6	2	1		8	4	2	1	2	3
Tess	f	young chimps	26		8	test	3	3->2	9	2	1		7	3	2	3	1	1
Tess	f	young chimps	26		9	test	14	1->3	11	3	1		2	2	1	2	4	3
Tess	f	young chimps	26		10	test	8	2->1	7	2	0		6	2	2	4	2	2
Tess	f	young chimps	26		11	test	7	3->1	5	1	1		6	2	2	3	2	1
Tess	f	young chimps	26		12	test	15	2->3	10	3	1		6	2	2	3	4	2.236067977
Uruhara	m	young chimps	29		1	warm-up	8		9				15	3	4	4	2	2.236067977
Uruhara	m	young chimps	29		2	warm-up	3		9				16	4	4	3	1	3.16227766
Uruhara	m	young chimps	29		1	test	9	1->2	2	2	1		13	1	4	1	3	1
Uruhara	m	young chimps	29		2	test	6	3->1	7	1	1		13	1	4	2	2	2.236067977
Uruhara	m	young chimps	29		3	test	10	2->3	48	2	0		14	2	4	2	3	1
